sample_id	fastq	run_id	barcode	description
MRC0123_AmM001WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0123_AmM001WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0223_AmM002WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0223_AmM002WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0323_BiM003WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0323_BiM003WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0423_BiM001WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0423_BiM001WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0523_AmM006WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0523_AmM006WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0623_BiM002WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0623_BiM002WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0723_AmM007WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0723_AmM007WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0823_BiM004WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0823_BiM004WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC0923_BiM005WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC0923_BiM005WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC1023_AmM008WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC1023_AmM008WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		already host-removed 2-50 kbp reads
MRC1123_WuH001WB	/gpfs/uod-scale-01/cluster/gjb_lab/pthorpe001/2026_plasmodium_kraken_sensitivity/real_reads/MRC1123_WuH001WB.host_removed_v4_nem_ton_nig.2-50kbp_reads.fq.gz	real_reads_v2_20260810		retained but excluded from primary PCR comparison pending PCR interpretation
